theme,text_opt_1,text_opt_2,#use_text_1,#use_text_2,@colorway,@font
A,No To War!,"No
To
War!",FALSE,TRUE,C:\zip\assets\colorways\colorway-1.ai,C:\zip\assets\textstyles\font-2.ai
U,Glory To Ukraine!,"Glory
To
Ukraine!",FALSE,TRUE,C:\zip\assets\colorways\colorway-2.ai,C:\zip\assets\textstyles\font-1.ai
U,Слава Україні!,Слава Україні,TRUE,FALSE,C:\zip\assets\colorways\colorway-2.ai,C:\zip\assets\textstyles\font-5.ai
U,Слава Украине!,Слава Украине!,TRUE,FALSE,C:\zip\assets\colorways\colorway-2.ai,C:\zip\assets\textstyles\font-5.ai
U,Glory To Heroes!,"Glory
To
Heroes!",FALSE,TRUE,C:\zip\assets\colorways\colorway-3.ai,C:\zip\assets\textstyles\font-2.ai
U,Save Ukraine,Save Ukraine,TRUE,FALSE,C:\zip\assets\colorways\colorway-4.ai,C:\zip\assets\textstyles\font-3.ai
R,Stop Putin,Stop Putin,TRUE,FALSE,C:\zip\assets\colorways\colorway-1.ai,C:\zip\assets\textstyles\font-4.ai
R,Долой с Путином!,"Долой
с
Путином!",TRUE,FALSE,C:\zip\assets\colorways\colorway-6.ai,C:\zip\assets\textstyles\font-5.ai
R,"Russia, Wake UP!","Russia,
Wake
UP!",FALSE,TRUE,C:\zip\assets\colorways\colorway-6.ai,C:\zip\assets\textstyles\font-5.ai
R,Революция Необходима,"Революция
Необходима",FALSE,TRUE,C:\zip\assets\colorways\colorway-6.ai,C:\zip\assets\textstyles\font-5.ai
